target,feature,spearman,single_feature_auc,positive_mean,negative_mean,relative_mean_difference,n
delay_next_60d,pending_approvals_count,0.09299817669221057,0.6028728622622764,4.144230769230769,2.8251845018450186,0.46688854003139707,11672
delay_next_60d,file_pending_days,0.07927810260748248,0.588939369411723,56.62379807692308,44.592158671586716,0.2698151370950045,11672
delay_next_60d,docs_complete_pct,-0.1072939482986314,0.37967885147601477,79.22403004807694,85.45788136531365,-0.07294647629501098,11672
delay_next_60d,court_cases_count,0.07566769967337408,0.57853247853392,1.4519230769230769,0.9670664206642067,0.5013685160589672,11672
delay_next_60d,case_age_months,0.07291993349853086,0.5779363402107579,8.327864182692307,5.721115036900369,0.45563655493357175,11672
delay_next_60d,title_disputes_parcels,0.019755721195955787,0.5211428691810956,1.6983173076923077,1.4357011070110701,0.18291843573762226,11672
delay_next_60d,grievances_30d,0.08440750611438146,0.5937766662822879,5.0625,3.5269372693726937,0.4353813559322034,11672
delay_next_60d,compensation_awarded_cr,0.01788519281961232,0.5200665160197275,6.978992788461539,6.527414501845019,0.06918180031142157,11672
delay_next_60d,compensation_disbursed_cr,-0.07205953759615578,0.4211064455896963,0.35307992788461545,0.7012758948339484,-0.49651780349840846,11672
delay_next_60d,disbursal_pct,-0.10334718321512987,0.386851527018876,4.845368990384615,10.719453044280444,-0.5479835612536268,11672
delay_next_60d,rnr_progress_pct,-0.0685218207342196,0.42412023444152713,8.281558894230768,12.369205442804429,-0.33046961403261177,11672
delay_next_60d,rnr_consent_pct,-0.06913312375225317,0.4224352691243259,68.24864302884615,72.93006494464944,-0.06419056282695322,11672
delay_next_60d,grievance_redressal_days,0.026805940659041818,0.5300752421586716,20.55994471153846,18.639066881918822,0.10305654471807392,11672
delay_next_60d,forest_involved,0.01330969807878494,0.5088392350269657,0.15144230769230768,0.13376383763837638,0.13216180371352784,11672
delay_next_60d,proximity_km_to_urban,0.00750837091334524,0.5084241058756741,40.24548076923077,39.60355498154981,0.016208792063742993,11672
delay_next_90d,days_in_current_stage,-0.048458739452487284,0.4547885211887754,85.18669871794872,93.24568303914045,-0.08642742546921901,11672
delay_next_90d,days_since_project_start,-0.11353568787545397,0.39425986413257375,127.9326923076923,171.6970452801228,-0.25489287192466936,11672
delay_next_90d,event_count_so_far,-0.11353568787545397,0.39425986413257375,5.264423076923077,6.7232348426707595,-0.2169806350492109,11672
delay_next_90d,land_required_ha,0.01778834225286377,0.516617070812917,31.172347115384618,28.9297717095165,0.07751790883059119,11672
delay_next_90d,land_to_acquire_ha,0.016910201076415374,0.5157971480385501,24.629615865384615,23.11250970836531,0.0656400441216562,11672
delay_next_90d,total_parcels,0.013013404572457803,0.5121567877752524,393.59134615384613,361.26736377590174,0.0894738512776242,11672
delay_next_90d,affected_families,0.015316934607235246,0.5143085806054076,186.30048076923077,174.11981964696852,0.06995562680319098,11672
delay_next_90d,vulnerable_families,0.016556165139235607,0.5154618456299073,32.82211538461539,29.8871834228703,0.09820035298137911,11672
delay_next_90d,pending_approvals_count,0.11211605579515385,0.603263302634945,4.016025641025641,2.7878933231005374,0.44052342596783606,11672
delay_next_90d,file_pending_days,0.08666029846172338,0.580949242502509,54.72115384615385,44.33979278587874,0.2341319254784912,11672
delay_next_90d,docs_complete_pct,-0.14223412642240074,0.3671925733514375,79.07006169871795,85.72509497313891,-0.0776322648170439,11672
delay_next_90d,court_cases_count,0.09419482985131533,0.5813987337529763,1.4447115384615385,0.9485801995395242,0.5230251898182724,11672
delay_next_90d,case_age_months,0.08019307135806103,0.571364528602633,8.009225961538462,5.655233691481197,0.4162502203230291,11672
delay_next_90d,title_disputes_parcels,0.02448811267183155,0.5218211763533857,1.6923076923076923,1.4259401381427474,0.1868013579531341,11672
delay_next_90d,grievances_30d,0.10064317078854998,0.5931000344987898,4.865384615384615,3.4892555640828857,0.39439044404402357,11672
delay_next_90d,compensation_awarded_cr,0.0183238896214032,0.5171177952260071,7.057065144230769,6.500045846124328,0.08569467220582232,11672
delay_next_90d,compensation_disbursed_cr,-0.13570922453969755,0.3762881700513608,0.3010734775641025,0.7213980717574827,-0.5826527830458127,11672
delay_next_90d,disbursal_pct,-0.16902977976939254,0.34591332317433143,4.05331891025641,11.048702609363009,-0.6331407357438055,11672
delay_next_90d,rnr_progress_pct,-0.11863632839215013,0.3906127778351733,7.417930288461539,12.635731676899463,-0.4129401859630387,11672
delay_next_90d,rnr_consent_pct,-0.08598107830380991,0.41967831569651887,68.27310977564103,73.11396143514966,-0.06620967547767671,11672
delay_next_90d,grievance_redressal_days,0.033479126714445626,0.5312754820606294,20.559944711538463,18.562408672294705,0.10761189856924,11672
delay_next_90d,forest_involved,0.016623071511588674,0.509191990377236,0.15144230769230768,0.13305832693783576,0.13816482724197213,11672
delay_next_90d,proximity_km_to_urban,0.009377537032715662,0.5087602942912804,40.24548076923077,39.57793706830391,0.016866561280715675,11672
