,days_in_current_stage,days_since_project_start,event_count_so_far,land_required_ha,land_to_acquire_ha,total_parcels,affected_families,vulnerable_families,pending_approvals_count,file_pending_days,docs_complete_pct,court_cases_count,case_age_months,title_disputes_parcels,grievances_30d,compensation_awarded_cr,compensation_disbursed_cr,disbursal_pct,rnr_progress_pct,rnr_consent_pct,grievance_redressal_days,forest_involved,proximity_km_to_urban
title_disputes_parcels,0.02039624428401768,0.002793083327261784,0.002793083327261784,-0.023081893365595862,-0.018181626824531918,-0.02220632856971318,-0.013293902276023199,-0.014051478491585735,-0.013340454517224556,-0.029618246412753887,0.03660716384920327,0.24221246125980847,0.23064335818363987,1.0,0.024545500722526387,-0.00903911850088873,-0.04022810096388458,-0.046170020176875846,-0.05669399050068128,0.0354647153044214,-0.009827779147751724,0.010012747762991887,0.03566897428001985
grievances_30d,0.13582734657728954,0.10709658764515353,0.10709658764515353,0.05501474774334546,0.05009363959503089,0.033538421675585704,0.043202216066168884,0.04414774464797466,0.11693271089208147,0.1570079682386876,-0.10828024530076705,0.27891735007042734,0.29754050378817287,0.024545500722526387,1.0,0.04046399443494152,0.11862147500698902,0.10547862674349501,0.1987847390479263,-0.315755559311027,0.2447502850113335,-0.02493068627030931,-0.004603756037102201
compensation_awarded_cr,0.008053606383962273,0.005216405700507474,0.005216405700507474,0.8053028094201194,0.7912108395826599,0.7161691401691683,0.6532309460107505,0.5823147905661745,0.005184810877810273,-0.02837153980987637,-0.009546692410770457,0.026229739259040423,0.026783066719980004,-0.00903911850088873,0.04046399443494152,1.0,0.29516921881849406,0.0030793352466759725,-0.0014005694031866518,-0.040591793225729096,0.030968289738263658,0.02482940683854903,0.02107132594195425
compensation_disbursed_cr,0.5794110282267797,0.7950722168757786,0.7950722168757786,0.24059294458992955,0.2364622830628965,0.21418425229637553,0.2047955552966998,0.1790937609203319,-0.05656989683530606,0.12520991958607855,0.2971173958590082,-0.10131989108160183,0.09344524627775341,-0.04022810096388458,0.11862147500698902,0.29516921881849406,1.0,0.9105503077972026,0.6640517080473024,0.06682641446658137,0.10310955341390393,0.01849667904725132,-0.0034509048043472284
disbursal_pct,0.655315470328357,0.8701669584396254,0.8701669584396254,0.0035921837568118455,0.00332749552516047,0.002944370714419816,0.009929846575487783,0.004417708589369521,-0.06894971255856783,0.14666983608085904,0.34072739313795186,-0.12417492376226356,0.08909263508224635,-0.046170020176875846,0.10547862674349501,0.0030793352466759725,0.9105503077972026,1.0,0.7405105911172338,0.0863768897594999,0.09388520717868142,0.00823856676295564,-0.01353664724861473
rnr_progress_pct,0.6185599030898131,0.7758981423119207,0.7758981423119207,-2.97066024035685e-05,0.0002154212190205379,0.012236968076802733,0.01797998182381829,0.012183263621506903,0.1252880203420289,0.34265397311952744,0.11669230779907105,0.037206411940999634,0.2292076104201279,-0.05669399050068128,0.1987847390479263,-0.0014005694031866518,0.6640517080473024,0.7405105911172338,1.0,-0.07773382091673406,-0.04975552830324951,-0.008892601787973829,0.0045430608405480945
rnr_consent_pct,-0.03439746413901318,0.002545418632799264,0.002545418632799264,-0.0538622440713756,-0.05555758007599704,-0.05362547046633733,-0.02158573539821914,-0.03253175295708766,-0.18968561929978672,-0.17502453602251042,0.17103177835991099,-0.21777978140426393,-0.2147121262916643,0.0354647153044214,-0.315755559311027,-0.040591793225729096,0.06682641446658137,0.0863768897594999,-0.07773382091673406,1.0,-0.08659186953042153,0.05565348626340557,-0.02457139722179166
grievance_redressal_days,0.002037388869210397,-0.0002205344637562118,-0.0002205344637562118,0.02879409389342522,0.025506210910398407,0.03303524173737483,0.020832174780972528,0.004876575057382201,-0.12312130174199694,-0.13613417799296726,0.06626587130071758,-0.07953434511965306,-0.08206338511217691,-0.009827779147751724,0.2447502850113335,0.030968289738263658,0.10310955341390393,0.09388520717868142,-0.04975552830324951,-0.08659186953042153,1.0,-0.00974026194001017,0.01925127572586151
forest_involved,-0.005787695311885128,-0.0037895780059051466,-0.0037895780059051466,0.02825019536445999,0.027122942923772018,0.028324800801942475,0.01450504378414748,0.013375285338679141,-0.014507092474117422,-0.02658018402277665,0.02185629273101982,-0.010780422533094894,-0.007352503184677328,0.010012747762991887,-0.02493068627030931,0.02482940683854903,0.01849667904725132,0.00823856676295564,-0.008892601787973829,0.05565348626340557,-0.00974026194001017,1.0,0.03296212278341813
proximity_km_to_urban,-0.005748431388290331,-0.006439474521511375,-0.006439474521511375,0.02112386208772498,0.022304522636992,0.011090499140817164,-0.028303169813998552,-0.030381446532090087,-0.010590926138182513,-0.01962195612417222,-0.012061298189262753,0.019304709384096088,0.015480839839438479,0.03566897428001985,-0.004603756037102201,0.02107132594195425,-0.0034509048043472284,-0.01353664724861473,0.0045430608405480945,-0.02457139722179166,0.01925127572586151,0.03296212278341813,1.0
