target,method,bin,lower_probability,upper_probability,count,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap
delay_next_60d,uncalibrated_xgboost,7,0.6000000000000001,0.7000000000000001,101,0.6491671458329304,0.1485148514851485,0.5006522943477819
delay_next_60d,uncalibrated_xgboost,8,0.7000000000000001,0.8,85,0.7442942114437328,0.2235294117647059,0.5207647996790269
delay_next_60d,uncalibrated_xgboost,9,0.8,0.9,39,0.8502501279879839,0.20512820512820512,0.6451219228597789
delay_next_60d,uncalibrated_xgboost,10,0.9,1.0,2,0.9265183508396149,0.5,0.42651835083961487
delay_next_60d,sigmoid,1,0.0,0.1,1339,0.030682779983203488,0.04256908140403286,0.01188630142082937
delay_next_60d,sigmoid,2,0.1,0.2,292,0.14611715987130436,0.19863013698630136,0.052512977114997
delay_next_60d,sigmoid,3,0.2,0.30000000000000004,81,0.23520071003637433,0.24691358024691357,0.011712870210539239
delay_next_60d,sigmoid,4,0.30000000000000004,0.4,19,0.32451053015431336,0.2631578947368421,0.06135263541747127
delay_next_60d,sigmoid,5,0.4,0.5,1,0.4261329745507946,0.0,0.4261329745507946
delay_next_60d,sigmoid,6,0.5,0.6000000000000001,0,,,
delay_next_60d,sigmoid,7,0.6000000000000001,0.7000000000000001,0,,,
delay_next_60d,sigmoid,8,0.7000000000000001,0.8,0,,,
delay_next_60d,sigmoid,9,0.8,0.9,0,,,
delay_next_60d,sigmoid,10,0.9,1.0,0,,,
delay_next_60d,isotonic,1,0.0,0.1,1275,0.026006891173266506,0.04,0.013993108826733495
delay_next_60d,isotonic,2,0.1,0.2,388,0.13301928071614633,0.19072164948453607,0.057702368768389745
delay_next_60d,isotonic,3,0.2,0.30000000000000004,33,0.2222222222222222,0.18181818181818182,0.04040404040404039
delay_next_60d,isotonic,4,0.30000000000000004,0.4,34,0.38393421884882983,0.23529411764705882,0.148640101201771
delay_next_60d,isotonic,5,0.4,0.5,0,,,
delay_next_60d,isotonic,6,0.5,0.6000000000000001,0,,,
delay_next_60d,isotonic,7,0.6000000000000001,0.7000000000000001,0,,,
delay_next_60d,isotonic,8,0.7000000000000001,0.8,0,,,
delay_next_60d,isotonic,9,0.8,0.9,0,,,
delay_next_60d,isotonic,10,0.9,1.0,2,1.0,0.5,0.5
delay_next_90d,uncalibrated_xgboost,1,0.0,0.1,696,0.02857552071672499,0.034482758620689655,0.005907237903964666
delay_next_90d,uncalibrated_xgboost,2,0.1,0.2,282,0.14516005678274108,0.09574468085106383,0.04941537593167725
delay_next_90d,uncalibrated_xgboost,3,0.2,0.30000000000000004,187,0.2461954570390324,0.1443850267379679,0.10181043030106449
delay_next_90d,uncalibrated_xgboost,4,0.30000000000000004,0.4,127,0.3470632516023681,0.14960629921259844,0.19745695238976968
delay_next_90d,uncalibrated_xgboost,5,0.4,0.5,88,0.4445208283987912,0.17045454545454544,0.27406628294424573
delay_next_90d,uncalibrated_xgboost,6,0.5,0.6000000000000001,95,0.5509808094877946,0.25263157894736843,0.29834923054042617
delay_next_90d,uncalibrated_xgboost,7,0.6000000000000001,0.7000000000000001,109,0.6485420853719799,0.22935779816513763,0.41918428720684225
delay_next_90d,uncalibrated_xgboost,8,0.7000000000000001,0.8,86,0.7530888603177182,0.27906976744186046,0.4740190928758577
delay_next_90d,uncalibrated_xgboost,9,0.8,0.9,51,0.8425524071151135,0.39215686274509803,0.45039554437001544
delay_next_90d,uncalibrated_xgboost,10,0.9,1.0,11,0.9174668788909912,0.45454545454545453,0.4629214243455367
delay_next_90d,sigmoid,1,0.0,0.1,1153,0.039189258164157595,0.06591500433651344,0.026725746172355846
delay_next_90d,sigmoid,2,0.1,0.2,322,0.14246947717825997,0.18633540372670807,0.04386592654844809
delay_next_90d,sigmoid,3,0.2,0.30000000000000004,177,0.2423155713322362,0.2598870056497175,0.017571434317481316
delay_next_90d,sigmoid,4,0.30000000000000004,0.4,62,0.3392956679745825,0.3548387096774194,0.01554304170283688
delay_next_90d,sigmoid,5,0.4,0.5,16,0.4367179494801472,0.25,0.1867179494801472
delay_next_90d,sigmoid,6,0.5,0.6000000000000001,2,0.5301493894606093,1.0,0.4698506105393907
delay_next_90d,sigmoid,7,0.6000000000000001,0.7000000000000001,0,,,
delay_next_90d,sigmoid,8,0.7000000000000001,0.8,0,,,
delay_next_90d,sigmoid,9,0.8,0.9,0,,,
delay_next_90d,sigmoid,10,0.9,1.0,0,,,
delay_next_90d,isotonic,1,0.0,0.1,1097,0.034136806659063004,0.05742935278030994,0.023292546121246933
delay_next_90d,isotonic,2,0.1,0.2,541,0.15962702914008162,0.20702402957486138,0.04739700043477976
delay_next_90d,isotonic,3,0.2,0.30000000000000004,24,0.24015511859079006,0.4166666666666667,0.17651154807587663
delay_next_90d,isotonic,4,0.30000000000000004,0.4,45,0.3559335214756872,0.3333333333333333,0.022600188142353872
delay_next_90d,isotonic,5,0.4,0.5,0,,,
delay_next_90d,isotonic,6,0.5,0.6000000000000001,12,0.5770626346634637,0.4166666666666667,0.16039596799679706
delay_next_90d,isotonic,7,0.6000000000000001,0.7000000000000001,9,0.6222601719259254,0.2222222222222222,0.4000379497037032
delay_next_90d,isotonic,8,0.7000000000000001,0.8,0,,,
delay_next_90d,isotonic,9,0.8,0.9,1,0.8363306781917164,1.0,0.16366932180828364
delay_next_90d,isotonic,10,0.9,1.0,3,0.9814826270969504,0.6666666666666666,0.3148159604302838
